order,name,family,page,row,col,hex,note,swatch_file,px,status,shopify_name,classic_product,in_grades
1,PURE WHITE,Cinzas,9,1,1,#F3F1EC,,PURE-WHITE.jpg,467x467,live,PURE WHITE,[5/7],"CHANCE Outdoor, CHANCE Crib 5, CHANCE Crib 7 | B1"
2,ZINC,Cinzas,9,1,2,#B4B0AA,,ZINC.jpg,467x467,live,ZINC,[1/7],CHANCE Outdoor
3,POMPEIAN,Cinzas,9,1,3,#9E9A95,,POMPEIAN.jpg,467x467,live,POMPEIAN,[1/7],
4,CITYSCAPE,Cinzas,9,1,4,#87807A,,CITYSCAPE.jpg,467x467,live,CITYSCAPE,[1/7],CHANCE Outdoor
5,ARMOUR,Cinzas,9,1,5,#6B6465,,ARMOUR.jpg,467x467,live,ARMOUR,[1/7],
6,COAL,Cinzas,9,1,6,#363836,,COAL.jpg,467x467,live,COAL,[1/7],
7,WINTER,Cinzas,9,2,1,#F1F0F0,,WINTER.jpg,467x467,live,WINTER,[5/7],
8,REFLECTION,Cinzas,9,2,2,#A5A19A,,REFLECTION.jpg,467x467,live,REFLECTION,[1/7],"CHANCE Outdoor, CHANCE Crib 7 | B1"
9,DOLPHIN,Cinzas,9,2,3,#8D8B8D,,DOLPHIN.jpg,467x467,live,DOLPHIN,[4/7],
10,TROUT,Cinzas,9,2,4,#6C6864,,TROUT.jpg,467x467,live,TROUT,[1/7],CHANCE Outdoor
11,SHALE,Cinzas,9,2,5,#595959,,SHALE.jpg,467x467,live,SHALE,[1/7],CHANCE Mediflex
12,OBSIDIAN,Cinzas,9,2,6,#2B2D2E,,OBSIDIAN.jpg,467x467,live,OBSIDIAN,[1/7],
13,SILVER,Cinzas,9,3,1,#99999F,,SILVER.jpg,467x467,live,SILVER,[4/7],
14,IGOR,Cinzas,9,3,2,#BCB5AF,,IGOR.jpg,623x623,new,,,CHANCE Mediflex
15,GIBRALTAR,Cinzas,9,3,3,#747575,,GIBRALTAR.jpg,467x467,live,GIBRALTAR,[1/7],
16,CEMENT,Cinzas,9,3,4,#706B67,,CEMENT.jpg,467x467,live,CEMENT,[1/7],
